   lat,    lon,    alt,    v_n,    v_e,    v_d,  gyrox,  gyroy,  gyroz,   accx,   accy,   accz,   magx,   magy,   magz
45.41665122, 11.86665592, 169.04138343, 13.55157994, 7.89454865, 1.44271580, -0.03863830, 0.00237137, 0.00587191, 0.20113408,  0.24243256, -9.86701220, 47.45667848, -1.53503142, 2.47577511
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, -0.03337626, 0.00694786, 0.00561640, 0.35546822,  0.10911889, -9.79985140, 47.47783424, 2.27673184, 1.13748144
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, -0.04686997, 0.00212746, -0.01694424, 0.24610795,  0.18591010, -9.79216198, 47.53149035, 1.16427124, 0.15496348
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, -0.03332970, -0.00138938, -0.04604324, 0.09519659,  0.15809354, -10.09399617, 47.53189312, 0.15314503, 1.14795446
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, -0.03104261, 0.00254355, -0.03837168, 0.49171852,  -0.13222966, -10.16348378, 47.53329852, 0.56062346, 0.945NaN3
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, -0.01189400, -0.00734526, -0.02885159, 0.76521187,  -0.29701971, -9.84895193, 47.51906934, 0.02772502, 1.59981125
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, -0.02933649, -0.00941156, 0.01965998, 1.17095909,  -0.04084301, -9.64774486, 47.43245003, 2.14695695, 2.48503031
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, -0.03528009, 0.00664059, 0.02682354, 1.28562119,  0.23628652, -9.72747542, 47.48929382, 0.32880138, 2.29803787
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, -0.01989779, 0.01570498, -0.02996719, 0.89228407,  0.19928878, -9.82779355, 47.50026999, 1.77436943, 1.09456825
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, -0.01199658, 0.00068380, -0.05646118, 0.69041329,  0.29613378, -9.34239274, 47.46025722, 1.30748189, 2.53704396
45.41678847, 11.86676990, 172.60066954, 14.89796789, 10.50127635, -0.25587181, -0.02799832, 0.00184927, -0.07424895, 0.10924989,  0.05743632, -8.92698153, 47.48229819, -0.86930514, 2.30169135
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.00292392, 0.01226979, -0.04438072, 0.15036900,  -0.07088661, -8.53098087, 47.40194456, 2.62062396, 2.60961645
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, -0.01351654, -0.01022715, -0.03468497, 0.07893985,  0.11423918, -8.56369712, 47.52017436, 1.54078501, 0.28482729
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, -0.00607973, 0.00421682, -0.01782747, 0.50559621,  0.21512173, -9.72241900, 47.41960426, 1.65515112, 3.04363648
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, -0.00310874, 0.00412415, -0.02753142, 0.63892897,  0.28590924, -10.17972291, 47.47714763, 2.27176948, 1.17542872
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, -0.00759857, 0.00755009, -0.05172942, 1.12096366,  0.47234282, -10.03297688, 47.50638704, 1.11026727, 1.59141853
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, -0.00497957, -0.00936885, -0.08187318, 0.90647371,  -0.05496830, -9.72812774, 47.39694828, 3.73103518, 0.48040210
     NaN,      NaN,      NaN,      NaN,      NaN,      NaN, 0.02060427, 0.00540236, -0.02991846, 0.76203117,  0.06119551, -9.92867745, 47.53060431, 1.18479517, 0.24501018
