lat, lon, h, v_n, v_e, v_d, q0, q1, q2, q3, xg_1, xg_2, xg_3
45.416651, 11.866656, 169.041383, 13.551580, 7.894549, 1.442716, 0.695585, 0.001224, -0.015909, 0.718266, -0.038638, 0.002371, 0.005872
45.416651, 11.866656, 169.041383, 13.551580, 7.894549, 1.442716, 0.709854, -0.003619, -0.016334, 0.704150, -0.036007, 0.004660, 0.005744
45.416651, 11.866656, 169.041383, 13.551580, 7.894549, 1.442716, 0.711813, -0.003072, -0.016099, 0.702177, -0.039628, 0.003816, -0.001819
45.416651, 11.866656, 169.041383, 13.551580, 7.894549, 1.442716, 0.710925, -0.001730, -0.014249, 0.703121, -0.038054, 0.002514, -0.012875
45.416651, 11.866656, 169.041383, 13.551580, 7.894549, 1.442716, 0.710971, -0.005796, -0.013916, 0.703059, -0.036651, 0.002520, -0.017974
45.416651, 11.866656, 169.041383, 13.551580, 7.894549, 1.442716, 0.710295, -0.011136, -0.014416, 0.703668, -0.032525, 0.000876, -0.019787
45.416651, 11.866656, 169.041383, 13.551580, 7.894549, 1.442716, 0.712013, -0.015691, -0.018239, 0.701754, -0.032070, -0.000594, -0.014152
45.416651, 11.866656, 169.041383, 13.551580, 7.894549, 1.442716, 0.711619, -0.018406, -0.022818, 0.701953, -0.032471, 0.000311, -0.009030
45.416651, 11.866656, 169.041383, 13.551580, 7.894549, 1.442716, 0.712533, -0.019058, -0.024675, 0.700945, -0.031074, 0.002021, -0.011356
45.416651, 11.866656, 169.041383, 13.551580, 7.894549, 1.442716, 0.712945, -0.018616, -0.025896, 0.700495, -0.029166, 0.001887, -0.015867
45.416720, 11.866713, 170.821026, 14.224774, 9.197912, 0.593422, 0.711844, -0.017272, -0.024264, 0.701706, -0.029060, 0.001884, -0.021174
45.416720, 11.866713, 170.821026, 14.224774, 9.197912, 0.593422, 0.713063, -0.016635, -0.022752, 0.700534, -0.026395, 0.002749, -0.023108
45.416720, 11.866713, 170.821026, 14.224774, 9.197912, 0.593422, 0.713494, -0.015372, -0.021743, 0.700155, -0.025404, 0.001751, -0.023999
45.416720, 11.866713, 170.821026, 14.224774, 9.197912, 0.593422, 0.713909, -0.014991, -0.022081, 0.699730, -0.024024, 0.001927, -0.023558
45.416720, 11.866713, 170.821026, 14.224774, 9.197912, 0.593422, 0.714568, -0.014752, -0.022810, 0.699038, -0.022629, 0.002074, -0.023823
45.416720, 11.866713, 170.821026, 14.224774, 9.197912, 0.593422, 0.714595, -0.015232, -0.024990, 0.698926, -0.021690, 0.002416, -0.025567
45.416720, 11.866713, 170.821026, 14.224774, 9.197912, 0.593422, 0.715739, -0.016336, -0.025389, 0.697715, -0.020707, 0.001723, -0.028879
45.416720, 11.866713, 170.821026, 14.224774, 9.197912, 0.593422, 0.715725, -0.016805, -0.025628, 0.697710, -0.018412, 0.001927, -0.028937
45.416720, 11.866713, 170.821026, 14.224774, 9.197912, 0.593422, 0.716802, -0.017425, -0.024837, 0.696616, -0.017042, 0.003264, -0.027091
45.416720, 11.866713, 170.821026, 14.224774, 9.197912, 0.593422, 0.717271, -0.017570, -0.024699, 0.696135, -0.015202, 0.004065, -0.024956
45.416783, 11.866774, 171.026227, 14.807352, 8.516866, 0.268851, 0.717350, -0.016973, -0.024006, 0.696093, -0.013127, 0.003891, -0.024912
45.416783, 11.866774, 171.026227, 14.807352, 8.516866, 0.268851, 0.717443, -0.016227, -0.022860, 0.696052, -0.012085, 0.003374, -0.026676
45.416783, 11.866774, 171.026227, 14.807352, 8.516866, 0.268851, 0.717789, -0.015815, -0.022539, 0.695716, -0.011160, 0.004414, -0.027813
45.416783, 11.866774, 171.026227, 14.807352, 8.516866, 0.268851, 0.718610, -0.015561, -0.022136, 0.694886, -0.010636, 0.004750, -0.027947
45.416783, 11.866774, 171.026227, 14.807352, 8.516866, 0.268851, 0.718971, -0.016180, -0.022543, 0.694486, -0.010316, 0.004628, -0.027559
45.416783, 11.866774, 171.026227, 14.807352, 8.516866, 0.268851, 0.718524, -0.016185, -0.022716, 0.694942, -0.008648, 0.005095, -0.027197
45.416783, 11.866774, 171.026227, 14.807352, 8.516866, 0.268851, 0.718949, -0.015962, -0.022449, 0.694517, -0.007523, 0.004956, -0.026698
45.416783, 11.866774, 171.026227, 14.807352, 8.516866, 0.268851, 0.719324, -0.015959, -0.021671, 0.694153, -0.005558, 0.005391, -0.026679
45.416783, 11.866774, 171.026227, 14.807352, 8.516866, 0.268851, 0.719430, -0.015911, -0.021244, 0.694058, -0.004913, 0.005983, -0.026293
45.416783, 11.866774, 171.026227, 14.807352, 8.516866, 0.268851, 0.719130, -0.016106, -0.021539, 0.694355, -0.004205, 0.005490, -0.025096
45.416851, 11.866828, 171.110275, 14.968698, 8.768411, 0.119904, 0.719094, -0.016427, -0.022551, 0.694353, -0.004135, 0.005122, -0.024842
45.416851, 11.866828, 171.110275, 14.968698, 8.768411, 0.119904, 0.719518, -0.016429, -0.022844, 0.693904, -0.003940, 0.004991, -0.024828
45.416851, 11.866828, 171.110275, 14.968698, 8.768411, 0.119904, 0.719995, -0.016125, -0.022845, 0.693416, -0.003866, 0.005436, -0.025248
45.416851, 11.866828, 171.110275, 14.968698, 8.768411, 0.119904, 0.720677, -0.016107, -0.022491, 0.692719, -0.003982, 0.005257, -0.025927
45.416851, 11.866828, 171.110275, 14.968698, 8.768411, 0.119904, 0.720997, -0.016470, -0.022338, 0.692382, -0.003572, 0.005290, -0.025629
45.416851, 11.866828, 171.110275, 14.968698, 8.768411, 0.119904, 0.721245, -0.016834, -0.022373, 0.692114, -0.002948, 0.005335, -0.024311
45.416851, 11.866828, 171.110275, 14.968698, 8.768411, 0.119904, 0.721478, -0.016909, -0.022414, 0.691868, -0.002256, 0.005721, -0.022970
45.416851, 11.866828, 171.110275, 14.968698, 8.768411, 0.119904, 0.721558, -0.016689, -0.022532, 0.691786, -0.001815, 0.005718, -0.022780
45.416851, 11.866828, 171.110275, 14.968698, 8.768411, 0.119904, 0.721815, -0.016731, -0.022809, 0.691507, -0.001497, 0.005838, -0.022835
45.416851, 11.866828, 171.110275, 14.968698, 8.768411, 0.119904, 0.722189, -0.016758, -0.023127, 0.691106, -0.001337, 0.005977, -0.023261
45.416922, 11.866878, 171.111836, 14.908085, 8.805874, 0.053715, 0.722292, -0.016808, -0.023483, 0.690985, -0.000844, 0.005721, -0.023863
45.416922, 11.866878, 171.111836, 14.908085, 8.805874, 0.053715, 0.722709, -0.016708, -0.023364, 0.690556, -0.000453, 0.005969, -0.024153
45.416922, 11.866878, 171.111836, 14.908085, 8.805874, 0.053715, 0.723060, -0.016728, -0.023230, 0.690192, -0.000141, 0.005904, -0.024470
45.416922, 11.866878, 171.111836, 14.908085, 8.805874, 0.053715, 0.723195, -0.016795, -0.023148, 0.690051, -0.000080, 0.006031, -0.024080
45.416922, 11.866878, 171.111836, 14.908085, 8.805874, 0.053715, 0.723425, -0.016913, -0.023033, 0.689812, 0.000972, 0.006200, -0.024204
45.416922, 11.866878, 171.111836, 14.908085, 8.805874, 0.053715, 0.723632, -0.017046, -0.023000, 0.689592, 0.001766, 0.006209, -0.023786
45.416922, 11.866878, 171.111836, 14.908085, 8.805874, 0.053715, 0.723976, -0.017056, -0.022703, 0.689240, 0.001985, 0.006446, -0.022961
45.416922, 11.866878, 171.111836, 14.908085, 8.805874, 0.053715, 0.723877, -0.017133, -0.022576, 0.689347, 0.003194, 0.006255, -0.022503
45.416922, 11.866878, 171.111836, 14.908085, 8.805874, 0.053715, 0.724064, -0.017048, -0.022554, 0.689153, 0.003472, 0.005991, -0.022020
45.416922, 11.866878, 171.111836, 14.908085, 8.805874, 0.053715, 0.724017, -0.016845, -0.022482, 0.689210, 0.003794, 0.006095, -0.021924
45.416990, 11.866925, 171.900580, 15.022913, 8.624314, 0.154660, 0.724121, -0.016844, -0.022225, 0.689109, 0.003832, 0.005945, -0.022333
45.416990, 11.866925, 171.900580, 15.022913, 8.624314, 0.154660, 0.724284, -0.017043, -0.022216, 0.688933, 0.003795, 0.006144, -0.022733
45.416990, 11.866925, 171.900580, 15.022913, 8.624314, 0.154660, 0.724291, -0.017161, -0.022334, 0.688919, 0.004231, 0.006243, -0.022827
45.416990, 11.866925, 171.900580, 15.022913, 8.624314, 0.154660, 0.724355, -0.017214, -0.022413, 0.688848, 0.004420, 0.005897, -0.022507
45.416990, 11.866925, 171.900580, 15.022913, 8.624314, 0.154660, 0.724366, -0.017100, -0.022492, 0.688837, 0.004607, 0.005509, -0.022539
45.416990, 11.866925, 171.900580, 15.022913, 8.624314, 0.154660, 0.724542, -0.016783, -0.022331, 0.688665, 0.004282, 0.005533, -0.023035
45.416990, 11.866925, 171.900580, 15.022913, 8.624314, 0.154660, 0.724800, -0.016108, -0.022141, 0.688415, 0.003638, 0.005376, -0.023718
45.416990, 11.866925, 171.900580, 15.022913, 8.624314, 0.154660, 0.725068, -0.015830, -0.021699, 0.688153, 0.003564, 0.005302, -0.024656
45.416990, 11.866925, 171.900580, 15.022913, 8.624314, 0.154660, 0.725378, -0.015950, -0.021396, 0.687833, 0.003403, 0.005135, -0.024888
45.416990, 11.866925, 171.900580, 15.022913, 8.624314, 0.154660, 0.725504, -0.016215, -0.021329, 0.687697, 0.003847, 0.004848, -0.024096
45.417056, 11.866970, 171.742916, 14.769133, 8.633672, -0.187728, 0.725637, -0.016649, -0.021886, 0.687528, 0.003809, 0.004449, -0.023489
45.417056, 11.866970, 171.742916, 14.769133, 8.633672, -0.187728, 0.725751, -0.016897, -0.022330, 0.687388, 0.004500, 0.004038, -0.022991
45.417056, 11.866970, 171.742916, 14.769133, 8.633672, -0.187728, 0.725980, -0.016887, -0.022859, 0.687128, 0.004291, 0.004257, -0.022938
45.417056, 11.866970, 171.742916, 14.769133, 8.633672, -0.187728, 0.726187, -0.017011, -0.023144, 0.686897, 0.003925, 0.004376, -0.023642
